"date;""price"""
18/09/2017;104.07
15/09/2017;104.30
14/09/2017;104.00
13/09/2017;103.74
12/09/2017;103.41
11/09/2017;102.80
08/09/2017;103.51
07/09/2017;103.91
06/09/2017;103.86
05/09/2017;104.64
04/09/2017;104.30
01/09/2017;103.55
31/08/2017;102.00
30/08/2017;101.69
29/08/2017;101.77
28/08/2017;102.26
25/08/2017;100.67
24/08/2017;100.02
23/08/2017;100.42
22/08/2017;100.27
21/08/2017;100.18
18/08/2017;99.52
17/08/2017;100.00
